id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
78499122;1С-аналитик;1С Аналитик;Иннополис;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
78499123;1С-аналитик;1С Аналитик;Казань;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
78499126;1С-аналитик;1С Аналитик;Ижевск;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
78056414;1С-аналитик;Программист 1C / Аналитик 1С;Нижний Новгород;Компания по удаленной поддержке организаций;;1с: предприятие 8;От 3 до 6 лет;2023-03-14;130000;210000;RUR
68818149;1С-аналитик;Программист 1С / Аналитик 1С;Томск;ТрансСервис;;1с программирование, 1с: документооборот, 1с: управление предприятием;От 3 до 6 лет;2023-04-06;90000;120000;RUR
77753811;1С-аналитик;Консультант 1С / Аналитик 1С в ИТ компанию;Москва;Кузница Кадров;;1c erp, erp-системы на базе 1с;От 1 года до 3 лет;2023-04-07;150000;;RUR
77847407;1С-аналитик;Системный 1С аналитик;Москва;Крошка-Картошка, Сеть кафе быстрого питания;;;От 3 до 6 лет;2023-04-06;;;
78994804;1С-аналитик;Функциональный Архитектор 1С (Аналитик);Москва;ГК ВИЗАВИ Консалт;;erp-системы на базе 1с, 1с: управление торговлей, 1с: документооборот, 1с: предприятие, разработка технических заданий;От 1 года до 3 лет;2023-04-06;;255000;RUR
78857143;1С-аналитик;Аналитик 1С / Аналитик бизнес- процессов производства;Москва;НПП Спецкабель;;1с: зарплата и управление персоналом, бизнес-анализ, erp-системы на базе 1с, 1с: бухгалтерия;От 3 до 6 лет;2023-04-06;;;
77851472;1С-аналитик;1С Аналитик;Москва;CHINT;;;От 3 до 6 лет;2023-04-05;;;
78960454;1С-аналитик;Методолог 1С/Аналитик 1С;Москва;СТРАТЕГИЯ;;;От 3 до 6 лет;2023-04-05;;200000;RUR
78280871;1С-аналитик;Консультант 1С / Аналитик 1С / Методолог 1С (управленческий учет);Москва;IT Capital;;управление проектами, планирование, 1c: бухгалтерия, управленческая отчетность, 1с: документооборот, бюджетирование закупок;От 3 до 6 лет;2023-04-04;;;
78178196;1С-аналитик;Аналитик 1C / 1C Analyst (гибридный режим работы офис-+удаленно);Москва;Air Liquide;;1с программирование, бизнес-анализ, моделирование бизнес процессов, разработка технических заданий;От 3 до 6 лет;2023-04-04;;;
78499130;1С-аналитик;1С Аналитик;Москва;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
77899972;1С-аналитик;Специалист по 1С (аналитик 1С);Москва;Москоллектор;;;От 3 до 6 лет;2023-03-29;90000;110000;RUR
78596489;1С-аналитик;Консультант 1С / Аналитик 1С;Москва;СНС, Группа Компаний;;;От 1 года до 3 лет;2023-03-27;;;
78046859;1С-аналитик;Оператор 1С / Аналитик товарных запасов;Москва;Валесан;;1с: управление торговлей, ms excel, 1с-битрикс, сводные таблицы, работа с большим объемом информации, аналитическое мышление, 1с: розница;От 1 года до 3 лет;2023-03-14;60000;65000;RUR
76819261;1С-аналитик;Спикер на курс «1С Аналитик»;Москва;Skillbox;;обучение, подготовка презентаций, навыки презентации, создание презентационных материалов о компании, python, java;От 3 до 6 лет;2023-03-09;;;
78069190;1С-аналитик;1С-аналитик / методолог — Группа по разработке инновационных ИТ-решений в области налогов и права;Москва;Деловые Решения и Технологии (ДРТ);;1с: бухгалтерия, бухгалтерский учет, налоговый учет, 1с: бухгалтерия предприятия;От 3 до 6 лет;2023-03-15;;;
78913069;1С-аналитик;Консультант 1С/Аналитик 1С/Стажер 1С;Благовещенск (Амурская область);Энтер-Софт;;постановка задач разработчикам, ms visio, разработка проектной документации, продвинутый пользователь 1с, разработка технических заданий;Нет опыта;2023-04-04;35000;40000;RUR
78544261;1С-аналитик;Консультант 1С/Аналитик 1С/Программист 1С;Владивосток;Центр Инженерной Безопасности;;;От 1 года до 3 лет;2023-03-27;90000;;RUR
69677522;1С-аналитик;Консультант 1С / Аналитик 1С в ИТ компанию;Санкт-Петербург;Кузница Кадров;;1с: предприятие 8;От 1 года до 3 лет;2023-04-07;150000;;RUR
78708570;1С-аналитик;Консультант 1С / Аналитик 1С / Специалист линии консультаций 1С;Санкт-Петербург;Инфостарт;;1с: зарплата и управление персоналом, 1с: бухгалтерия, 1с: предприятие 8, грамотная речь, 1с: управление торговлей, деловая переписка, 1с: розница, 1с унф, консультирование, 1с: предприятие: бухгалтерский учет, 1с: комплексная автоматизация, 1c: erp;От 3 до 6 лет;2023-04-05;60000;;RUR
68332247;1С-аналитик;Ведущий Консультант 1С \ Аналитик 1С (Финансовый контур) Удаленно;Санкт-Петербург;Odyssey Consulting Group;;бизнес-анализ, erp-системы на базе 1с;От 3 до 6 лет;2023-04-03;;;
74243869;1С-аналитик;Аналитик 1С (Аналитик со знанием 1С);Санкт-Петербург;Газпром нефть;;ms visio, управление проектами, бизнес-анализ, 1с: управление производственным предприятием;От 1 года до 3 лет;2023-03-30;;;
78499129;1С-аналитик;1С Аналитик;Санкт-Петербург;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
78499128;1С-аналитик;1С Аналитик;Оренбург;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
78499124;1С-аналитик;1С Аналитик;Тольятти;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
78499125;1С-аналитик;1С Аналитик;Самара;ХАЙЕР ИНДАСТРИ РУС;;;От 1 года до 3 лет;2023-03-24;;;
